,bin,left_bound,interval,count
0,1,453.0, 453.0 - 708.0,77959
1,2,708.0, 708.0 - 963.0,107496
2,3,963.0, 963.0 - 1218.0,115837
3,4,1218.0, 1218.0 - 1473.0,94087
4,5,1473.0, 1473.0 - 1728.0,85432
5,6,1728.0, 1728.0 - 1983.0,71174
6,7,1983.0, 1983.0 - 2238.0,59978
7,8,2238.0, 2238.0 - 2493.0,49492
8,9,2493.0, 2493.0 - 2748.0,42375
9,10,2748.0, 2748.0 - 3003.0,32897
10,11,3003.0, 3003.0 - 3258.0,27569
11,12,3258.0, 3258.0 - 3513.0,23741
12,13,3513.0, 3513.0 - 3768.0,20157
13,14,3768.0, 3768.0 - 4023.0,17259
14,15,4023.0, 4023.0 - 4278.0,14753
15,16,4278.0, 4278.0 - 4533.0,12196
16,17,4533.0, 4533.0 - 4788.0,10400
17,18,4788.0, 4788.0 - 5043.0,8835
18,19,5043.0, 5043.0 - 5298.0,7207
19,20,5298.0, 5298.0 - inf,37
