departure_name,hour,count
A.I. Virtasen aukio,0,55
A.I. Virtasen aukio,1,44
A.I. Virtasen aukio,2,27
A.I. Virtasen aukio,3,18
A.I. Virtasen aukio,4,11
A.I. Virtasen aukio,5,14
A.I. Virtasen aukio,6,44
A.I. Virtasen aukio,7,141
A.I. Virtasen aukio,8,290
A.I. Virtasen aukio,9,333
A.I. Virtasen aukio,10,313
A.I. Virtasen aukio,11,416
A.I. Virtasen aukio,12,622
A.I. Virtasen aukio,13,585
A.I. Virtasen aukio,14,663
A.I. Virtasen aukio,15,662
A.I. Virtasen aukio,16,835
A.I. Virtasen aukio,17,672
A.I. Virtasen aukio,18,615
A.I. Virtasen aukio,19,544
A.I. Virtasen aukio,20,375
A.I. Virtasen aukio,21,345
A.I. Virtasen aukio,22,228
A.I. Virtasen aukio,23,108
Aalto-yliopisto (M) / Korkeakouluaukio,0,878
Aalto-yliopisto (M) / Korkeakouluaukio,1,187
Aalto-yliopisto (M) / Korkeakouluaukio,2,130
Aalto-yliopisto (M) / Korkeakouluaukio,3,85
Aalto-yliopisto (M) / Korkeakouluaukio,4,46
Aalto-yliopisto (M) / Korkeakouluaukio,5,53
Aalto-yliopisto (M) / Korkeakouluaukio,6,164
Aalto-yliopisto (M) / Korkeakouluaukio,7,662
Aalto-yliopisto (M) / Korkeakouluaukio,8,2553
Aalto-yliopisto (M) / Korkeakouluaukio,9,3476
Aalto-yliopisto (M) / Korkeakouluaukio,10,2440
Aalto-yliopisto (M) / Korkeakouluaukio,11,2005
Aalto-yliopisto (M) / Korkeakouluaukio,12,3666
Aalto-yliopisto (M) / Korkeakouluaukio,13,4296
Aalto-yliopisto (M) / Korkeakouluaukio,14,4168
Aalto-yliopisto (M) / Korkeakouluaukio,15,4773
Aalto-yliopisto (M) / Korkeakouluaukio,16,7228
Aalto-yliopisto (M) / Korkeakouluaukio,17,8321
Aalto-yliopisto (M) / Korkeakouluaukio,18,7894
Aalto-yliopisto (M) / Korkeakouluaukio,19,6100
Aalto-yliopisto (M) / Korkeakouluaukio,20,5127
Aalto-yliopisto (M) / Korkeakouluaukio,21,4475
Aalto-yliopisto (M) / Korkeakouluaukio,22,2830
Aalto-yliopisto (M) / Korkeakouluaukio,23,1896
Aalto-yliopisto (M) / Tietotie,0,284
Aalto-yliopisto (M) / Tietotie,1,116
Aalto-yliopisto (M) / Tietotie,2,66
Aalto-yliopisto (M) / Tietotie,3,37
Aalto-yliopisto (M) / Tietotie,4,17
Aalto-yliopisto (M) / Tietotie,5,11
Aalto-yliopisto (M) / Tietotie,6,15
Aalto-yliopisto (M) / Tietotie,7,305
Aalto-yliopisto (M) / Tietotie,8,1549
Aalto-yliopisto (M) / Tietotie,9,2196
Aalto-yliopisto (M) / Tietotie,10,714
Aalto-yliopisto (M) / Tietotie,11,489
Aalto-yliopisto (M) / Tietotie,12,772
Aalto-yliopisto (M) / Tietotie,13,829
Aalto-yliopisto (M) / Tietotie,14,727
Aalto-yliopisto (M) / Tietotie,15,760
Aalto-yliopisto (M) / Tietotie,16,1640
Aalto-yliopisto (M) / Tietotie,17,2195
Aalto-yliopisto (M) / Tietotie,18,2066
Aalto-yliopisto (M) / Tietotie,19,1340
Aalto-yliopisto (M) / Tietotie,20,1055
Aalto-yliopisto (M) / Tietotie,21,867
Aalto-yliopisto (M) / Tietotie,22,609
Aalto-yliopisto (M) / Tietotie,23,476
Abraham Wetterin tie,0,125
Abraham Wetterin tie,1,101
Abraham Wetterin tie,2,71
Abraham Wetterin tie,3,59
Abraham Wetterin tie,4,41
Abraham Wetterin tie,5,35
Abraham Wetterin tie,6,49
Abraham Wetterin tie,7,165
Abraham Wetterin tie,8,448
Abraham Wetterin tie,9,440
Abraham Wetterin tie,10,321
Abraham Wetterin tie,11,371
Abraham Wetterin tie,12,427
Abraham Wetterin tie,13,519
Abraham Wetterin tie,14,535
Abraham Wetterin tie,15,626
Abraham Wetterin tie,16,880
Abraham Wetterin tie,17,888
Abraham Wetterin tie,18,854
Abraham Wetterin tie,19,717
Abraham Wetterin tie,20,535
Abraham Wetterin tie,21,418
Abraham Wetterin tie,22,261
Abraham Wetterin tie,23,207
Agnetankuja,0,175
Agnetankuja,1,140
Agnetankuja,2,95
Agnetankuja,3,28
Agnetankuja,4,23
Agnetankuja,5,134
Agnetankuja,6,112
Agnetankuja,7,408
Agnetankuja,8,857
Agnetankuja,9,613
Agnetankuja,10,378
Agnetankuja,11,362
Agnetankuja,12,484
Agnetankuja,13,584
Agnetankuja,14,607
Agnetankuja,15,707
Agnetankuja,16,887
Agnetankuja,17,954
Agnetankuja,18,857
Agnetankuja,19,706
Agnetankuja,20,634
Agnetankuja,21,474
Agnetankuja,22,359
Agnetankuja,23,206
Agronominkatu,0,61
Agronominkatu,1,16
Agronominkatu,2,72
Agronominkatu,3,10
Agronominkatu,4,10
Agronominkatu,5,21
Agronominkatu,6,41
Agronominkatu,7,54
Agronominkatu,8,137
Agronominkatu,9,216
Agronominkatu,10,135
Agronominkatu,11,182
Agronominkatu,12,240
Agronominkatu,13,282
Agronominkatu,14,275
Agronominkatu,15,303
Agronominkatu,16,333
Agronominkatu,17,338
Agronominkatu,18,353
Agronominkatu,19,369
Agronominkatu,20,342
Agronominkatu,21,290
Agronominkatu,22,173
Agronominkatu,23,108
Ahertajantie,0,93
Ahertajantie,1,60
Ahertajantie,2,40
Ahertajantie,3,34
Ahertajantie,4,30
Ahertajantie,5,9
Ahertajantie,6,20
Ahertajantie,7,152
Ahertajantie,8,526
Ahertajantie,9,616
Ahertajantie,10,351
Ahertajantie,11,365
Ahertajantie,12,404
Ahertajantie,13,524
Ahertajantie,14,464
Ahertajantie,15,585
Ahertajantie,16,670
Ahertajantie,17,612
Ahertajantie,18,425
Ahertajantie,19,391
Ahertajantie,20,305
Ahertajantie,21,230
Ahertajantie,22,140
Ahertajantie,23,100
Alakiventie,0,53
Alakiventie,1,30
Alakiventie,2,12
Alakiventie,3,12
Alakiventie,4,8
Alakiventie,5,8
Alakiventie,6,8
Alakiventie,7,46
Alakiventie,8,85
Alakiventie,9,109
Alakiventie,10,88
Alakiventie,11,103
Alakiventie,12,121
Alakiventie,13,121
Alakiventie,14,131
Alakiventie,15,172
Alakiventie,16,165
Alakiventie,17,199
Alakiventie,18,268
Alakiventie,19,177
Alakiventie,20,145
Alakiventie,21,146
Alakiventie,22,111
Alakiventie,23,66
Albertinkatu,0,1035
Albertinkatu,1,698
Albertinkatu,2,501
Albertinkatu,3,358
Albertinkatu,4,245
Albertinkatu,5,260
Albertinkatu,6,1002
Albertinkatu,7,1938
Albertinkatu,8,3264
Albertinkatu,9,2511
