,bin,left_bound,interval,count
0,1,453.0, 453.0 - 708.0,218240
1,2,708.0, 708.0 - 963.0,311199
2,3,963.0, 963.0 - 1218.0,344550
3,4,1218.0, 1218.0 - 1473.0,311422
4,5,1473.0, 1473.0 - 1728.0,291652
5,6,1728.0, 1728.0 - 1983.0,265410
6,7,1983.0, 1983.0 - 2238.0,232982
7,8,2238.0, 2238.0 - 2493.0,201841
8,9,2493.0, 2493.0 - 2748.0,180021
9,10,2748.0, 2748.0 - 3003.0,145339
10,11,3003.0, 3003.0 - 3258.0,125769
11,12,3258.0, 3258.0 - 3513.0,112168
12,13,3513.0, 3513.0 - 3768.0,97435
13,14,3768.0, 3768.0 - 4023.0,83895
14,15,4023.0, 4023.0 - 4278.0,71345
15,16,4278.0, 4278.0 - 4533.0,60201
16,17,4533.0, 4533.0 - 4788.0,50942
17,18,4788.0, 4788.0 - 5043.0,42424
18,19,5043.0, 5043.0 - 5298.0,34124
19,20,5298.0, 5298.0 - inf,189
