departure_name,departure_latitude,departure_longitude,count,traffic
Itämerentori,60.1635309,24.9145165,269862,very high
Töölönlahdenkatu,60.17219068,24.93930791,202555,very high
Kamppi (M),60.1686095,24.9305373,164966,very high
Rautatientori / länsi,60.1706061,24.9397601,143564,very high
Ympyrätalo,60.180863,24.9494,140941,very high
Rautatientori / itä,60.1708236,24.9425268,130437,very high
Hietalahdentori,60.1622251,24.9297099,120837,very high
Sörnäinen (M),60.187736,24.96098,120334,very high
Ooppera,60.1825529,24.926687,110188,very high
Porthania,60.16986222858,24.9481463998,105818,very high
Narinkka,60.1700420359,24.93460698,100211,very high
Apollonkatu,60.1760798,24.9223942,99266,very high
Kanavaranta,60.168384,24.9583814,97814,very high
Kalasatama (M),60.18755649,24.9770684,96306,very high
Unioninkatu,60.1674573,24.9510227,95482,very high
Sepänkatu,60.1579483,24.9362853,95269,very high
Diakoniapuisto,60.186979,24.943358,93691,very high
Baana,60.164088,24.9225658,93586,very high
Mannerheimintie,60.1690724,24.9394195,91204,very high
Tyynenmerenkatu,60.156838,24.920661,90846,very high
Hakaniemi (M),60.17810631604,24.95218124892,89905,very high
Korjaamo,60.1838677,24.9198371,86586,very high
Kaisaniemenpuisto,60.17319894172505,24.943301000681707,86509,very high
Vanha kirkkopuisto,60.1652883,24.9391499,83753,very high
Kiasma,60.1712579,24.9374279,82921,very high
Länsisatamankatu,60.1589276,24.909692,82601,very high
Arabian kauppakeskus,60.2027912,24.9666128,82469,very high
Jätkäsaarenlaituri,60.1619311,24.9214896,82363,very high
Lintulahdenkatu,60.1837182,24.9621936,81129,very high
Liisanpuistikko,60.1741822,24.9613747,79988,very high
Kaivopuisto,60.15544479382098,24.95029288969032,79247,very high
Varsapuistikko,60.1731029004969,24.9495192737191,78593,very high
Kauppakorkeakoulu,60.1711591,24.924961,78406,very high
Näkinsilta,60.179765,24.9554618,77181,very high
Aalto-yliopisto (M) / Korkeakouluaukio,60.184312,24.826671,73453,very high
Olympiastadion,60.1845055,24.9249741,73307,very high
Brahen kenttä,60.1868618,24.9509168,72350,very high
Töölönkatu,60.1775598,24.9283272,72107,very high
Viiskulma,60.1609859,24.9417758,71945,very high
Messeniuksenkatu,60.1878352,24.9180102,70656,very high
Vilhonvuorenkatu,60.1864633,24.9678718,69848,very high
Linnanmäki,60.1911411,24.9401593,69607,very high
Fleminginkatu,60.1895417,24.9521601,67604,very high
Marian sairaala,60.1680998,24.9220763,67154,very high
Hernesaarenranta,60.15352968178976,24.93125406706023,65003,very high
Albertinkatu,60.1618359,24.9368179,61551,very high
Eteläesplanadi,60.16723083051,24.94746581951,60940,very high
Gyldenintie,60.1583842,24.8766658,60291,very high
Huopalahdentie,60.1996653,24.8836209,60209,very high
Kapteeninpuistikko,60.1581892,24.9449274,59205,very high
Töölönlahden puisto,60.174646,24.935186,58523,very high
Kalevankatu,60.16568,24.931422,56020,very high
Töölöntori,60.1791231,24.9249114,55149,very high
Haukilahdenkatu,60.1985314,24.9676708,54647,very high
Sammonpuistikko,60.1731473,24.9224112,52359,very high
Tilkanvierto,60.1975329,24.899261,52283,very high
