,bin,left_bound,interval,count
0,1,453.0, 453.0 - 708.0,304259
1,2,708.0, 708.0 - 963.0,430809
2,3,963.0, 963.0 - 1218.0,466323
3,4,1218.0, 1218.0 - 1473.0,412637
4,5,1473.0, 1473.0 - 1728.0,386290
5,6,1728.0, 1728.0 - 1983.0,341420
6,7,1983.0, 1983.0 - 2238.0,293958
7,8,2238.0, 2238.0 - 2493.0,253688
8,9,2493.0, 2493.0 - 2748.0,221926
9,10,2748.0, 2748.0 - 3003.0,178378
10,11,3003.0, 3003.0 - 3258.0,151469
11,12,3258.0, 3258.0 - 3513.0,133530
12,13,3513.0, 3513.0 - 3768.0,115752
13,14,3768.0, 3768.0 - 4023.0,100038
14,15,4023.0, 4023.0 - 4278.0,82290
15,16,4278.0, 4278.0 - 4533.0,69753
16,17,4533.0, 4533.0 - 4788.0,58316
17,18,4788.0, 4788.0 - 5043.0,49324
18,19,5043.0, 5043.0 - 5298.0,39769
19,20,5298.0, 5298.0 - inf,229
